Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
655837, -9.68, -0.1, -0.1, -0.04, -0.04, -0.04, 29.65, 0
656038, -9.65, -0.1, -0.1, -0.13, -0.13, -0.13, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
656383, -9.66, -0.1, -0.1, -0.13, -0.13, -0.13, 29.75, 0
656572, -9.65, -0.1, -0.1, -0.07, -0.07, -0.07, 29.75, 0
656788, -9.65, -0.1, -0.1, -0.1, -0.1, -0.1, 29.7, 0
656983, -9.65, -0.1, -0.1, -0.1, -0.1, -0.1, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
657328, -9.65, -0.1, -0.1, -0.09, -0.09, -0.09, 29.65, 0
657516, -9.61, -0.1, -0.1, -0.12, -0.12, -0.12, 29.65, 0
657732, -9.65, -0.1, -0.1, -0.19, -0.19, -0.19, 29.61, 0
657927, -9.67, -0.1, -0.1, -0.06, -0.06, -0.06, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
658272, -9.66, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
658461, -9.61, -0.1, -0.1, -0.11, -0.11, -0.11, 29.75, 0
658677, -9.6, -0.1, -0.1, -0.04, -0.04, -0.04, 29.65, 0
658873, -9.69, -0.1, -0.1, -0.12, -0.12, -0.12, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
659218, -9.59, -0.1, -0.1, -0.19, -0.19, -0.19, 29.7, 0
659407, -9.61, -0.1, -0.1, -0.14, -0.14, -0.14, 29.65, 0
659624, -9.63, -0.1, -0.1, -0.11, -0.11, -0.11, 29.65, 0
659819, -9.68, -0.1, -0.1, -0.03, -0.03, -0.03, 29.65, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
660164, -9.65, -0.1, -0.1, -0.02, -0.02, -0.02, 29.61, 0
660353, -9.7, -0.1, -0.1, -0.1, -0.1, -0.1, 29.61, 0
660565, -9.62, -0.1, -0.1, -0.1, -0.1, -0.1, 29.65, 0
660766, -9.62, -0.1, -0.1, -0.07, -0.07, -0.07, 29.56, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
661111, -9.64, -0.1, -0.1, -0.12, -0.12, -0.12, 29.75, 0
661300, -9.61, -0.1, -0.1, -0.08, -0.08, -0.08, 29.65, 0
661517, -9.67, -0.1, -0.1, -0.1, -0.1, -0.1, 29.61, 0
661713, -9.64, -0.1, -0.1, -0.14, -0.14, -0.14, 29.7, 0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
