Time (ms), latt, longi, alt, tStamp, speedMps, heading, numSat, Packet Error
568813, -37.874928, 145.056616, 48, 22331990, 0.0, 275, 7, 0
569225, -37.874928, 145.056616, 48, 22332030, 0.0, 275, 7, 0
570313, -37.874928, 145.056616, 48, 22332140, 0.0, 275, 7, 0
571513, -37.874928, 145.056616, 48, 22332260, 0.0, 275, 7, 0
572626, -37.874928, 145.056616, 48, 22332370, 0.0, 275, 7, 0
572810, -37.874928, 145.056616, 48, 22332390, 0.0, 275, 7, 0
574012, -37.874928, 145.056616, 48, 22332510, 0.0, 275, 7, 0
574421, -37.874928, 145.056616, 48, 22332550, 0.0, 275, 7, 0
574731, -37.874928, 145.056616, 48, 22332580, 0.0, 275, 7, 0
575334, -37.874928, 145.056616, 48, 22332640, 0.0, 275, 7, 0
575512, -37.874928, 145.056616, 48, 22332660, 0.0, 275, 7, 0
575925, -37.874928, 145.056616, 48, 22332700, 0.0, 275, 7, 0
577011, -37.874928, 145.056616, 48, 22332810, 0.0, 275, 7, 0
577914, -37.874928, 145.056616, 48, 22332900, 0.0, 275, 7, 0
578816, -37.874928, 145.056616, 48, 22332990, 0.0, 275, 7, 0
579836, -37.874928, 145.056616, 48, 22333090, 0.0, 275, 7, 0
580512, -37.874928, 145.056616, 48, 22333160, 0.0, 275, 7, 0
580925, -37.874928, 145.056616, 48, 22333200, 0.0, 275, 7, 0
582012, -37.874928, 145.056616, 49, 22333310, 0.0, 275, 7, 0
582919, -37.874928, 145.056616, 49, 22333400, 0.0, 275, 7, 0
583224, -37.874928, 145.056616, 49, 22333430, 0.0, 275, 7, 0
584415, -37.874928, 145.056616, 49, 22333550, 0.0, 275, 7, 0
584827, -37.874928, 145.056616, 49, 22333590, 0.0, 275, 7, 0
585411, -37.874928, 145.056616, 49, 22333650, 0.0, 275, 7, 0
586022, -37.874928, 145.056616, 49, 22333710, 0.0, 275, 7, 0
586429, -37.874928, 145.056616, 49, 22333750, 0.0, 275, 7, 0
587215, -37.874928, 145.056616, 49, 22333830, 0.0, 275, 7, 0
588017, -37.874928, 145.056616, 49, 22333910, 0.0, 275, 7, 0
589108, -37.874928, 145.056616, 49, 22334020, 0.0, 275, 7, 0
589524, -37.874928, 145.056616, 49, 22334060, 0.0, 275, 7, 0
589935, -37.874928, 145.056616, 49, 22334100, 0.0, 275, 7, 0
591022, -37.874928, 145.056616, 49, 22334210, 0.0, 275, 7, 0
591437, -37.874928, 145.056616, 49, 22334250, 0.0, 275, 7, 0
591538, -37.874928, 145.056616, 49, 22334260, 0.0, 275, 7, 0
591913, -37.874928, 145.056616, 49, 22334300, 0.0, 275, 7, 0
592326, -37.874928, 145.056616, 49, 22334340, 0.0, 275, 7, 0
593119, -37.874928, 145.056616, 49, 22334420, 0.0, 275, 7, 0
593814, -37.874928, 145.056616, 49, 22334490, 0.0, 275, 7, 0
594087, -37.874928, 145.056616, 49, 22334510, 0.0, 275, 7, 0
594530, -37.874928, 145.056616, 49, 22334560, 0.0, 275, 7, 0
594713, -37.874928, 145.056616, 49, 22334580, 0.0, 275, 7, 0
595613, -37.874928, 145.056616, 49, 22334670, 0.0, 275, 7, 0
596025, -37.874928, 145.056616, 49, 22334710, 0.0, 275, 7, 0
597018, -37.874928, 145.056616, 49, 22334810, 0.0, 275, 7, 0
598014, -37.874928, 145.056616, 49, 22334910, 0.0, 275, 7, 0
598422, -37.874928, 145.056616, 49, 22334950, 0.0, 275, 7, 0
598837, -37.874928, 145.056616, 49, 22334990, 0.0, 275, 7, 0
599627, -37.874928, 145.056616, 49, 22335070, 0.0, 275, 7, 0
600037, -37.874928, 145.056616, 50, 22335110, 0.0, 275, 7, 0
600303, -37.874928, 145.056616, 50, 22335140, 0.0, 275, 7, 0
600520, -37.874928, 145.056616, 50, 22335160, 0.0, 275, 7, 0
601316, -37.874928, 145.056616, 50, 22335240, 0.0, 275, 7, 0
601915, -37.874928, 145.056616, 50, 22335300, 0.0, 275, 7, 0
603044, -37.874928, 145.056616, 50, 22335410, 0.0, 275, 7, 0
603216, -37.874928, 145.056616, 50, 22335430, 0.0, 275, 7, 0
