Time (ms), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
189659, 189659574, -10.91, -0.11, -0.11, -0.29, -0.29, -0.29, 31.91, 0
189895, 189895579, -10.87, -0.11, -0.11, -0.28, -0.28, -0.28, 31.96, 0
190041, 190041575, -10.9, -0.11, -0.11, -0.19, -0.19, -0.19, 32.01, 0
190279, 190279579, -10.88, -0.11, -0.11, -0.18, -0.18, -0.18, 31.91, 0
190418, 190418581, -10.87, -0.11, -0.11, -0.29, -0.29, -0.29, 32.05, 0
190654, 190654579, -10.82, -0.11, -0.11, -0.27, -0.27, -0.27, 32.01, 0
190802, 190802579, -10.83, -0.11, -0.11, -0.25, -0.25, -0.25, 32.05, 0
191036, 191036579, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 32.05, 0
191182, 191182579, -10.85, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
191414, 191414579, -10.87, -0.11, -0.11, -0.23, -0.23, -0.23, 31.96, 0
191560, 191560579, -10.82, -0.11, -0.11, -0.21, -0.21, -0.21, 31.96, 0
191798, 191798579, -10.86, -0.11, -0.11, -0.27, -0.27, -0.27, 32.05, 0
191941, 191941578, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 31.96, 0
192179, 192179579, -10.86, -0.11, -0.11, -0.2, -0.2, -0.2, 31.91, 0
192325, 192325579, -10.84, -0.11, -0.11, -0.17, -0.17, -0.17, 32.1, 0
192560, 192560579, -10.92, -0.11, -0.11, -0.21, -0.21, -0.21, 32.01, 0
192704, 192704578, -10.88, -0.11, -0.11, -0.19, -0.19, -0.19, 32.01, 0
192946, 192946579, -10.85, -0.11, -0.11, -0.17, -0.17, -0.17, 32.05, 0
193085, 193085578, -10.85, -0.11, -0.11, -0.16, -0.16, -0.16, 32.05, 0
193324, 193324579, -10.86, -0.11, -0.11, -0.21, -0.21, -0.21, 31.96, 0
193472, 193472581, -10.81, -0.11, -0.11, -0.27, -0.27, -0.27, 32.05, 0
193705, 193705579, -10.87, -0.11, -0.11, -0.27, -0.27, -0.27, 31.91, 0
193848, 193848573, -10.87, -0.11, -0.11, -0.23, -0.23, -0.23, 32.05, 0
194086, 194086579, -10.91, -0.11, -0.11, -0.24, -0.24, -0.24, 32.01, 0
194229, 194229579, -10.9, -0.11, -0.11, -0.18, -0.18, -0.18, 31.96, 0
194470, 194470578, -10.88, -0.11, -0.11, -0.29, -0.29, -0.29, 31.96, 0
194610, 194610578, -10.87, -0.11, -0.11, -0.09, -0.09, -0.09, 31.91, 0
194848, 194848579, -10.86, -0.11, -0.11, -0.15, -0.15, -0.15, 31.96, 0
