Time (ms), Time (us), accX, accY, accZ, gyroX, gyroY, gyroZ, tempC, Packet Error
224390, 224390788, -10.85, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
224246, 224246578, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 32.1, 0
224390, 224390788, -10.85, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
225917, 225917581, -10.88, -0.11, -0.11, -0.19, -0.19, -0.19, 32.2, 0
226152, 226152574, -10.87, -0.11, -0.11, -0.23, -0.23, -0.23, 32.1, 0
226295, 226295572, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
226533, 226533574, -10.82, -0.11, -0.11, -0.22, -0.22, -0.22, 32.2, 0
226681, 226681581, -10.85, -0.11, -0.11, -0.19, -0.19, -0.19, 32.24, 0
226915, 226915574, -10.81, -0.11, -0.11, -0.27, -0.27, -0.27, 32.1, 0
227058, 227058572, -10.88, -0.11, -0.11, -0.24, -0.24, -0.24, 32.15, 0
227296, 227296574, -10.91, -0.11, -0.11, -0.3, -0.3, -0.3, 32.15, 0
227439, 227439584, -10.87, -0.11, -0.11, -0.12, -0.12, -0.12, 32.2, 0
227678, 227678578, -10.96, -0.11, -0.11, -0.2, -0.2, -0.2, 32.15, 0
227819, 227819570, -10.94, -0.11, -0.11, -0.26, -0.26, -0.26, 32.2, 0
228074, 228074570, -10.87, -0.11, -0.11, -0.26, -0.26, -0.26, 32.1, 0
228328, 228328578, -10.85, -0.11, -0.11, -0.26, -0.26, -0.26, 32.2, 0
228457, 228457584, -10.91, -0.11, -0.11, -0.11, -0.11, -0.11, 32.15, 0
228693, 228693574, -10.95, -0.11, -0.11, -0.12, -0.12, -0.12, 32.01, 0
228836, 228836582, -10.9, -0.11, -0.11, -0.24, -0.24, -0.24, 32.05, 0
229074, 229074578, -10.84, -0.11, -0.11, -0.16, -0.16, -0.16, 32.05, 0
229218, 229218582, -10.96, -0.11, -0.11, -0.19, -0.19, -0.19, 32.15, 0
229457, 229457577, -10.89, -0.11, -0.11, -0.19, -0.19, -0.19, 32.15, 0
229599, 229599573, -10.82, -0.11, -0.11, -0.23, -0.23, -0.23, 32.15, 0
229841, 229841574, -10.85, -0.11, -0.11, -0.21, -0.21, -0.21, 32.1, 0
229984, 229984572, -10.85, -0.11, -0.11, -0.28, -0.28, -0.28, 32.05, 0
230219, 230219574, -10.89, -0.11, -0.11, -0.18, -0.18, -0.18, 32.2, 0
230365, 230365582, -10.84, -0.11, -0.11, -0.18, -0.18, -0.18, 32.15, 0
230600, 230600578, -10.89, -0.11, -0.11, -0.2, -0.2, -0.2, 32.2, 0
230742, 230742572, -10.83, -0.11, -0.11, -0.17, -0.17, -0.17, 32.15, 0
230981, 230981574, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
231123, 231123581, -10.87, -0.11, -0.11, -0.14, -0.14, -0.14, 32.15, 0
231362, 231362578, -10.86, -0.11, -0.11, -0.22, -0.22, -0.22, 32.05, 0
231507, 231507570, -10.85, -0.11, -0.11, -0.23, -0.23, -0.23, 32.15, 0
231761, 231761570, -10.9, -0.11, -0.11, -0.21, -0.21, -0.21, 32.15, 0
232021, 232021578, -10.79, -0.11, -0.11, -0.27, -0.27, -0.27, 32.1, 0
232142, 232142581, -10.81, -0.11, -0.11, -0.23, -0.23, -0.23, 32.2, 0
232393, 232393785, -10.86, -0.11, -0.11, -0.13, -0.13, -0.13, 32.2, 0
232527, 232527583, -10.9, -0.11, -0.11, -0.16, -0.16, -0.16, 32.15, 0
232760, 232760574, -10.83, -0.11, -0.11, -0.26, -0.26, -0.26, 32.24, 0
232905, 232905583, -10.92, -0.11, -0.11, -0.15, -0.15, -0.15, 32.1, 0
233142, 233142574, -10.9, -0.11, -0.11, -0.09, -0.09, -0.09, 32.15, 0
233285, 233285581, -10.85, -0.11, -0.11, -0.16, -0.16, -0.16, 32.15, 0
233522, 233522574, -10.85, -0.11, -0.11, -0.18, -0.18, -0.18, 32.29, 0
233666, 233666582, -10.85, -0.11, -0.11, -0.22, -0.22, -0.22, 32.2, 0
233905, 233905574, -10.83, -0.11, -0.11, -0.2, -0.2, -0.2, 32.1, 0
234054, 234054572, -10.87, -0.11, -0.11, -0.23, -0.23, -0.23, 32.2, 0
234285, 234285574, -10.83, -0.11, -0.11, -0.15, -0.15, -0.15, 32.2, 0
234431, 234431586, -10.87, -0.11, -0.11, -0.3, -0.3, -0.3, 32.24, 0
234670, 234670574, -10.83, -0.11, -0.11, -0.16, -0.16, -0.16, 32.15, 0
234810, 234810581, -10.87, -0.11, -0.11, -0.18, -0.18, -0.18, 32.24, 0
235048, 235048574, -10.92, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
235197, 235197581, -10.87, -0.11, -0.11, -0.14, -0.14, -0.14, 32.24, 0
235426, 235426574, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 32.2, 0
235572, 235572573, -10.81, -0.11, -0.11, -0.14, -0.14, -0.14, 32.29, 0
235810, 235810574, -10.83, -0.11, -0.11, -0.14, -0.14, -0.14, 32.2, 0
235953, 235953582, -10.86, -0.11, -0.11, -0.16, -0.16, -0.16, 32.2, 0
236189, 236189574, -10.8, -0.11, -0.11, -0.25, -0.25, -0.25, 32.24, 0
236331, 236331582, -10.88, -0.11, -0.11, -0.21, -0.21, -0.21, 32.15, 0
236569, 236569574, -10.83, -0.11, -0.11, -0.21, -0.21, -0.21, 32.24, 0
236715, 236715572, -10.9, -0.11, -0.11, -0.19, -0.19, -0.19, 32.2, 0
236951, 236951574, -10.83, -0.11, -0.11, -0.13, -0.13, -0.13, 32.15, 0
237094, 237094572, -10.89, -0.11, -0.11, -0.25, -0.25, -0.25, 32.2, 0
237334, 237334574, -10.84, -0.11, -0.11, -0.27, -0.27, -0.27, 32.2, 0
237478, 237478586, -10.9, -0.11, -0.11, -0.23, -0.23, -0.23, 32.15, 0
237712, 237712574, -10.88, -0.11, -0.11, -0.2, -0.2, -0.2, 32.15, 0
237857, 237857582, -10.83, -0.11, -0.11, -0.25, -0.25, -0.25, 32.15, 0
