Time (ms), Altitude (m), Pressure (Pa), Temperature (degC)
84189, 36.11, 100892.0, 29.49
84301, 34.11, 100916.0, 29.47
84189, 36.11, 100892.0, 29.49
84301, 34.11, 100916.0, 29.47
86416, 35.86, 100895.0, 29.32
86631, 35.78, 100896.0, 29.31
87271, 35.19, 100903.0, 29.41
87914, 35.03, 100905.0, 29.49
88232, 35.03, 100905.0, 29.5
88449, 34.78, 100908.0, 29.51
88769, 35.19, 100903.0, 29.52
88983, 34.78, 100908.0, 29.53
90056, 34.94, 100906.0, 29.53
90272, 33.52, 100923.0, 29.52
90593, 35.11, 100904.0, 29.45
90912, 35.28, 100902.0, 29.38
91126, 35.44, 100900.0, 29.32
91346, 33.86, 100919.0, 29.28
92097, 35.61, 100898.0, 29.08
92417, 35.78, 100896.0, 29.0
92846, 35.53, 100899.0, 28.89
93063, 34.11, 100916.0, 28.86
93601, 35.94, 100894.0, 28.71
93823, 34.36, 100913.0, 28.68
94361, 35.94, 100894.0, 28.55
95437, 36.11, 100892.0, 28.31
95655, 34.52, 100911.0, 28.29
96406, 35.78, 100896.0, 28.17
96621, 34.19, 100915.0, 28.16
97484, 35.61, 100898.0, 27.95
97838, 35.86, 100895.0, 27.84
98162, 36.03, 100893.0, 27.8
98375, 36.36, 100889.0, 27.77
98596, 34.61, 100910.0, 27.74
99348, 36.2, 100891.0, 27.61
99667, 36.11, 100892.0, 27.55
99881, 36.11, 100892.0, 27.52
100205, 36.45, 100888.0, 27.46
100847, 35.86, 100895.0, 27.37
101063, 34.52, 100911.0, 27.36
101814, 36.11, 100892.0, 27.27
102139, 36.2, 100891.0, 27.23
102564, 35.94, 100894.0, 27.2
103637, 36.28, 100890.0, 27.07
103853, 34.36, 100913.0, 27.05
104394, 35.86, 100895.0, 26.98
105035, 36.11, 100892.0, 26.88
105574, 36.03, 100893.0, 26.78
105894, 35.94, 100894.0, 26.72
106107, 36.11, 100892.0, 26.67
106749, 36.03, 100893.0, 26.56
107067, 36.28, 100890.0, 26.51
107283, 36.2, 100891.0, 26.48
107604, 36.11, 100892.0, 26.43
107816, 36.11, 100892.0, 26.4
108674, 35.94, 100894.0, 26.29
108993, 36.03, 100893.0, 26.26
109207, 35.69, 100897.0, 26.26
109961, 35.53, 100899.0, 26.22
110178, 34.19, 100915.0, 26.23
110499, 35.78, 100896.0, 26.2
110822, 35.61, 100898.0, 26.17
111239, 35.53, 100899.0, 26.13
111883, 35.61, 100898.0, 26.05
112203, 35.78, 100896.0, 26.02
112418, 35.44, 100900.0, 26.0
112739, 36.03, 100893.0, 25.96
113382, 35.78, 100896.0, 25.89
114025, 35.69, 100897.0, 25.83
115744, 35.36, 100901.0, 25.74
116276, 35.28, 100902.0, 25.76
116597, 35.61, 100898.0, 25.79
116802, 35.44, 100900.0, 25.81
117126, 35.36, 100901.0, 25.83
117339, 35.28, 100902.0, 25.85
117979, 34.94, 100906.0, 25.91
118200, 33.52, 100923.0, 25.94
118735, 34.78, 100908.0, 25.96
119376, 34.78, 100908.0, 26.0
119694, 34.86, 100907.0, 26.0
119911, 34.78, 100908.0, 26.01
120128, 33.44, 100924.0, 26.02
120450, 34.86, 100907.0, 25.99
121091, 34.86, 100907.0, 25.96
121307, 33.69, 100921.0, 25.95
122059, 35.19, 100903.0, 25.86
122274, 33.61, 100922.0, 25.85
122595, 34.86, 100907.0, 25.79
123239, 35.19, 100903.0, 25.7
123561, 35.53, 100899.0, 25.65
123990, 35.53, 100899.0, 25.59
124102, 35.36, 100901.0, 25.57
124426, 35.36, 100901.0, 25.49
124855, 35.53, 100899.0, 25.45
125924, 35.61, 100898.0, 25.3
126144, 34.27, 100914.0, 25.28
126681, 35.69, 100897.0, 25.19
126998, 35.78, 100896.0, 25.15
127650, 35.61, 100898.0, 25.07
128075, 35.94, 100894.0, 25.02
128291, 34.27, 100914.0, 25.01
129045, 35.78, 100896.0, 24.9
129263, 34.36, 100913.0, 24.89
129799, 35.86, 100895.0, 24.78
130015, 34.44, 100912.0, 24.76
130550, 35.69, 100897.0, 24.64
130770, 34.27, 100914.0, 24.62
131093, 35.86, 100895.0, 24.56
131308, 34.27, 100914.0, 24.55
131843, 35.44, 100900.0, 24.47
133023, 35.78, 100896.0, 24.31
133244, 34.27, 100914.0, 24.3
133780, 35.53, 100899.0, 24.24
134098, 35.53, 100899.0, 24.22
134314, 35.69, 100897.0, 24.2
134634, 35.78, 100896.0, 24.16
134849, 35.61, 100898.0, 24.13
135486, 35.61, 100898.0, 24.08
136561, 35.69, 100897.0, 24.01
136876, 35.61, 100898.0, 24.01
137091, 35.36, 100901.0, 24.01
137310, 34.02, 100917.0, 24.02
137615, 35.44, 100900.0, 23.95
138692, 35.44, 100900.0, 23.8
139010, 35.44, 100900.0, 23.75
139439, 35.61, 100898.0, 23.7
139677, 35.44, 100900.0, 23.67
139888, 35.61, 100898.0, 23.67
140531, 35.36, 100901.0, 23.64
141169, 35.36, 100901.0, 23.59
141492, 35.69, 100897.0, 23.58
141920, 35.44, 100900.0, 23.55
142988, 35.36, 100901.0, 23.42
143210, 34.02, 100917.0, 23.4
143744, 35.44, 100900.0, 23.32
144385, 35.19, 100903.0, 23.26
144602, 33.86, 100919.0, 23.25
145356, 35.28, 100902.0, 23.17
145673, 35.61, 100898.0, 23.15
145889, 35.53, 100899.0, 23.13
146207, 35.36, 100901.0, 23.1
146424, 35.44, 100900.0, 23.09
146747, 35.36, 100901.0, 23.06
147175, 35.19, 100903.0, 23.02
148032, 35.36, 100901.0, 22.98
148249, 33.86, 100919.0, 23.0
149002, 35.19, 100903.0, 22.95
149225, 33.77, 100920.0, 22.95
149976, 35.11, 100904.0, 22.9
150298, 35.36, 100901.0, 22.87
150619, 34.69, 100909.0, 22.85
150964, 35.11, 100904.0, 22.8
151605, 35.19, 100903.0, 22.78
151824, 33.77, 100920.0, 22.78
152580, 35.11, 100904.0, 22.72
152898, 35.19, 100903.0, 22.7
153332, 35.11, 100904.0, 22.67
