Time (ms), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
26747, -8.74, 101430.0, 19.38, 0
27068, -8.82, 101431.0, 19.4, 0
27290, -8.74, 101430.0, 19.41, 0
27506, -8.74, 101430.0, 19.43, 0
27936, -8.65, 101429.0, 19.46, 0
28362, -8.65, 101429.0, 19.5, 0
28789, -8.49, 101427.0, 19.53, 0
29219, -8.65, 101429.0, 19.56, 0
29656, -8.57, 101428.0, 19.59, 0
30084, -8.82, 101431.0, 19.62, 0
30515, -8.74, 101430.0, 19.65, 0
30949, -8.41, 101426.0, 19.68, 0
31378, -8.57, 101428.0, 19.72, 0
31804, -8.57, 101428.0, 19.75, 0
32236, -8.49, 101427.0, 19.78, 0
32668, -8.41, 101426.0, 19.81, 0
33098, -8.82, 101431.0, 19.84, 0
33535, -8.49, 101427.0, 19.87, 0
33963, -8.49, 101427.0, 19.9, 0
34287, -8.49, 101427.0, 19.92, 0
34506, -8.41, 101426.0, 19.94, 0
34934, -8.65, 101429.0, 19.97, 0
35255, -8.49, 101427.0, 19.99, 0
35472, -8.49, 101427.0, 20.0, 0
35686, -8.65, 101429.0, 20.01, 0
36122, -8.41, 101426.0, 20.04, 0
36553, -8.49, 101427.0, 20.07, 0
36981, -8.41, 101426.0, 20.1, 0
37414, -8.41, 101426.0, 20.13, 0
37738, -8.49, 101427.0, 20.15, 0
38273, -8.57, 101428.0, 20.18, 0
38699, -8.49, 101427.0, 20.21, 0
39130, -8.41, 101426.0, 20.24, 0
39557, -8.32, 101425.0, 20.28, 0
39989, -8.41, 101426.0, 20.31, 0
40421, -8.32, 101425.0, 20.33, 0
40851, -8.49, 101427.0, 20.36, 0
41173, -8.41, 101426.0, 20.38, 0
41391, -8.32, 101425.0, 20.4, 0
41610, -8.41, 101426.0, 20.42, 0
42039, -8.24, 101424.0, 20.44, 0
42469, -8.41, 101426.0, 20.47, 0
42790, -8.32, 101425.0, 20.49, 0
43006, -8.49, 101427.0, 20.51, 0
43436, -8.24, 101424.0, 20.54, 0
43870, -8.16, 101423.0, 20.56, 0
44300, -8.49, 101427.0, 20.59, 0
44967, -8.41, 101426.0, 20.63, 0
45399, -8.32, 101425.0, 20.66, 0
45830, -8.24, 101424.0, 20.69, 0
46261, -8.24, 101424.0, 20.72, 0
46688, -8.32, 101425.0, 20.75, 0
47119, -8.24, 101424.0, 20.77, 0
47551, -8.32, 101425.0, 20.8, 0
47981, -8.24, 101424.0, 20.83, 0
48410, -8.24, 101424.0, 20.85, 0
48848, -8.16, 101423.0, 20.88, 0
49277, -8.24, 101424.0, 20.91, 0
49705, -8.24, 101424.0, 20.93, 0
50135, -8.16, 101423.0, 20.96, 0
50562, -8.16, 101423.0, 20.99, 0
50989, -8.24, 101424.0, 21.01, 0
51105, -8.16, 101423.0, 21.02, 0
51441, -7.99, 101421.0, 21.01, 0
51875, -8.16, 101423.0, 21.06, 0
52314, -8.07, 101422.0, 21.09, 0
52740, -8.16, 101423.0, 21.12, 0
53061, -8.07, 101422.0, 21.14, 0
53278, -8.24, 101424.0, 21.15, 0
53493, -8.16, 101423.0, 21.16, 0
53926, -8.16, 101423.0, 21.19, 0
54251, -8.16, 101423.0, 21.21, 0
54462, -8.16, 101423.0, 21.22, 0
54899, -8.16, 101423.0, 21.25, 0
55327, -7.91, 101420.0, 21.27, 0
55653, -7.99, 101421.0, 21.29, 0
55873, -7.99, 101421.0, 21.3, 0
56303, -8.07, 101422.0, 21.33, 0
56626, -8.07, 101422.0, 21.35, 0
56843, -7.99, 101421.0, 21.36, 0
57270, -8.07, 101422.0, 21.39, 0
57700, -7.91, 101420.0, 21.41, 0
58134, -7.91, 101420.0, 21.43, 0
58562, -7.91, 101420.0, 21.46, 0
58882, -8.07, 101422.0, 21.48, 0
59100, -7.91, 101420.0, 21.49, 0
59313, -7.82, 101419.0, 21.5, 0
59751, -8.07, 101422.0, 21.53, 0
60180, -7.91, 101420.0, 21.55, 0
60503, -7.91, 101420.0, 21.57, 0
60719, -7.82, 101419.0, 21.58, 0
61147, -7.74, 101418.0, 21.61, 0
61576, -7.91, 101420.0, 21.63, 0
62010, -7.99, 101421.0, 21.65, 0
62438, -7.82, 101419.0, 21.68, 0
62870, -7.82, 101419.0, 21.7, 0
63304, -7.99, 101421.0, 21.73, 0
63734, -7.82, 101419.0, 21.75, 0
64056, -7.99, 101421.0, 21.77, 0
64273, -7.91, 101420.0, 21.78, 0
64381, -7.91, 101420.0, 21.79, 0
64919, -7.82, 101419.0, 21.8, 0
65351, -7.99, 101421.0, 21.83, 0
65570, -7.91, 101420.0, 21.84, 0
65803, -7.91, 101420.0, 21.85, 0
66019, -7.82, 101419.0, 21.87, 0
66447, -7.82, 101419.0, 21.89, 0
66883, -7.82, 101419.0, 21.92, 0
67316, -7.74, 101418.0, 21.94, 0
67745, -7.74, 101418.0, 21.96, 0
68176, -7.74, 101418.0, 21.98, 0
68613, -7.99, 101421.0, 22.01, 0
69041, -7.91, 101420.0, 22.03, 0
69470, -7.91, 101420.0, 22.05, 0
69902, -7.74, 101418.0, 22.07, 0
70330, -7.91, 101420.0, 22.1, 0
70652, -7.74, 101418.0, 22.11, 0
70868, -7.82, 101419.0, 22.12, 0
71297, -7.82, 101419.0, 22.14, 0
71621, -7.57, 101416.0, 22.16, 0
71837, -7.82, 101419.0, 22.17, 0
72268, -7.57, 101416.0, 22.19, 0
72696, -7.57, 101416.0, 22.21, 0
73128, -7.74, 101418.0, 22.24, 0
73555, -7.66, 101417.0, 22.26, 0
73879, -7.74, 101418.0, 22.27, 0
74095, -7.82, 101419.0, 22.28, 0
74525, -7.49, 101415.0, 22.31, 0
74953, -7.74, 101418.0, 22.33, 0
75386, -7.82, 101419.0, 22.35, 0
75817, -7.74, 101418.0, 22.37, 0
76137, -7.66, 101417.0, 22.39, 0
76354, -7.74, 101418.0, 22.39, 0
76567, -7.74, 101418.0, 22.41, 0
77000, -7.66, 101417.0, 22.42, 0
77431, -7.74, 101418.0, 22.45, 0
77653, -7.49, 101415.0, 22.45, 0
78202, -7.91, 101420.0, 22.47, 0
78635, -7.74, 101418.0, 22.5, 0
79066, -7.66, 101417.0, 22.52, 0
79391, -7.91, 101420.0, 22.54, 0
79606, -7.66, 101417.0, 22.55, 0
80038, -7.66, 101417.0, 22.57, 0
80467, -7.66, 101417.0, 22.59, 0
80896, -7.82, 101419.0, 22.61, 0
81330, -7.57, 101416.0, 22.63, 0
81760, -7.57, 101416.0, 22.65, 0
82084, -7.74, 101418.0, 22.66, 0
