Time (ms), Time (us), Altitude (m), Pressure (Pa), Temperature (degC), Packet Error
462092, 462092911, -8.07, 101422.0, 36.12, 0
463825, 463825017, -8.16, 101423.0, 36.13, 0
465094, 465094904, -7.99, 101421.0, 36.13, 0
468641, 468641908, -8.07, 101422.0, 36.14, 0
469906, 469906965, -7.99, 101421.0, 36.14, 0
470619, 470619916, -7.99, 101421.0, 36.14, 0
2048, 3145728, 0.0, 0.0, 0.0, 1
472693, 472693910, -7.99, 101421.0, 36.14, 0
473651, 473651904, -7.99, 101421.0, 36.14, 0
475715, 475715901, -7.91, 101420.0, 36.14, 0
0, 2687500288, 0.0, 0.0, 0.0, 1
478195, 478195917, -7.91, 101420.0, 36.14, 0
